event_id,start_date,end_date,peak_dhw,peak_date
15,21/02/2025,21/05/2025,8.404178571,1/04/2025
13,24/02/2024,21/05/2024,8.1730625,26/03/2024
11,5/03/2022,21/04/2022,4.926875,23/03/2022
9,25/01/2019,25/04/2019,9.774151786,17/03/2019
7,28/01/2018,5/05/2018,12.65386607,16/03/2018
5,12/02/2016,29/05/2016,12.86958036,2/04/2016
3,9/03/2013,21/05/2013,6.189714286,27/03/2013
1,27/02/2012,19/04/2012,4.500089286,18/03/2012
