GA ID,SURV_CODE,SURVEY_NAME,DATA_TYPE,VESSEL,START_DATE,END_DATE,START_PORT,END_PORT,DATA_OWNER,SYSTEM,TVU,Licence
,Aquamap,AbbotPoint,multibeam,SV Echo,28/05/2017,28/05/2017,Townsville,Townsville,Aquamap,R2Sonic 2022 (400 kHz),IHO S44 1a,
GA0236,Auscan1,FremantleHobart,multibeam,RV Marion Dufresne,23/01/2003,17/02/2003,Fremantle,Hobart,GA,Thomson Marconi TSM 5265,IHO S44 1a,AusSeabed
GA0245,Auscan2,HobartFremantle,multibeam,RV Marion Dufresne,18/02/2003,5/03/2003,Hobart,Fremantle,GA,Thomson Marconi TSM 5265,IHO S44 1a,AusSeabed
,AUSLIG,BaitReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,BellCay,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,BowlingGreenBay,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,BushyReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,CayleyReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,ChauvelReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,ChestermanReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,HookIsReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,PandoraReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,PeartReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,SandpiperReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,TernReef,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,UNReef_17_20,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,UNReef_17_21,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
,AUSLIG,UNReef_20_103,singlebeam,unknown,unknown,unknown,unknown,unknown,GA,unknown,IHO S44 2,Geoscience Australia
GA0222,Austrea1,NoumeaHobart,multibeam,NO L'Atalante,18/12/1999,11/01/2000,Noumea,Hobart,GA/IFREMER,Simrad EM120 (12 kHz),IHO S44 1a,AusSeabed
GA0223,Austrea2,HobartBluffNZ,multibeam,NO L'Atalante,15/01/2000,9/02/2000,Hobart,"Bluff, NZ",GA/NOO,Simrad EM120 (12 kHz),IHO S44 1a,AusSeabed
GA0364,BeagleMarinePark,LauncestonLaunceston,multibeam,MV Bluefin,17/06/2018,26/06/2018,Launceston,Stanley,GA,EM2040C (300 kHz),IHO S44 1a,AusSeabed
GA0224,Bioview,HobartHobart,multibeam,RV Southern Surveyor,4/04/2000,15/05/2000,Hobart,Hobart,CSIRO,Simrad EM1002 (100 kHz),IHO S44 1a,AusSeabed
GA1273,BMRG07MV,PortHedlandSuva,multibeam,RV Melville,19/04/1996,3/05/1996,Port Hedland,Suva,SIO,Seabeam 2000 (12 kHz),IHO S44 1b,Geoscience Australia
,CapeFerguson,CentralGBR,multibeam,RV Cape Ferguson,3/09/2014,10/09/2014,Cape Ferguson,Cape Ferguson,JCU,Reson 8101 (240 kHz),IHO S44 1b,
GA0336,CO2Storage,PetrelSubBasin,multibeam,MV Duke,4/05/2012,22/06/2012,Darwin,Darwin,GA,Kongsberg EM2040 (200 kHz),IHO S44 1b,Geoscience Australia
,Coast_CocosChristmasIs,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_Indonesia,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_LordHoweIs,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_MacquarieIs,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_NewCaledonia,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_NewSouthWales,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_NewSouthWales,NSF,coastline near surface feature,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_NewZealand,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
,Coast_NorthernTerritory,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,GA maritime boundaries
,Coast_PapuaNewGuinea,LAT,coastline lowwater,na,na,na,na,na,JCU,na,2,https://www.arcgis.com/home/item.html?id=f0ceb8af000a4ffbae75d742538c548b
